9781450000000,Daniels' Running Formula-3rd Edition,Jack Daniels,Human Kinetics,12/31/2013,306
9780940000000,Galloway's Book on Running,Jeff Galloway,Shelter Publications,2002,275
9781840000000,Running Shoes,Frederick Lipp,Zero to Ten,9/1/2007,32
9780740000000,Fitness Running,"Richard L. Brown, Joe Henderson",Human Kinetics,2003,190
9780380000000,The Running Dream,Wendelin Van Draanen,Knopf Books for Young Readers,1/11/2011,352
9781450000000,Running Lean,Ash Maurya,"O'Reilly Media, Inc.",2/24/2012,240
9781410000000,"Had, Hoodwinked and Bamboozled (willie Lynch is Running Wild in the Democratic Party)!! and He Has the Black Community, Just where He Wants Them!!","Evang. G. E. McTyre, Evangelist Evang. G. E., BHG McTyre BA",Lulu.com,2006-01,138
9780870000000,Lore of Running,Timothy Noakes,Human Kinetics,2003,931
9781410000000,Harry Potter and the Deathly Hallows,J. K. Rowling,Bloomsbury Publishing,2014,619
9781780000000,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Pottermore,7/8/1999,448
9781780000000,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Pottermore,12/8/2015,309
9781340000000,Harry Potter Coloring Book,Inc. Scholastic,Scholastic Incorporated,11/10/2015,96
9781780000000,Harry Potter,Jody Revenson,Titan Books,9/25/2015,208
9780060000000,Harry Potter Page to Screen,Bob McCabe,Harper Design,10/25/2011,540
9780550000000,Harry Potter and the Order of the Phoenix,J. K. Rowling,Scholastic Paperbacks,8/27/2013,870
9781780000000,Harry Potter and the Cursed Child – Parts One and Two (Special Rehearsal Edition),"J.K. Rowling, John Tiffany, Jack Thorne",Pottermore,7/31/2016,320
9780550000000,The Hunger Games Trilogy,Suzanne Collins,Scholastic Inc.,5/1/2011,1000
9780550000000,The World of the Hunger Games,Kate Egan,Scholastic Inc.,3/23/2012,192
9780550000000,Catching Fire (The Second Book of the Hunger Games),Suzanne Collins,Scholastic Inc.,6/1/2010,400
9780550000000,The Hunger Games Tribute Guide,Emily Seife,Scholastic Inc.,2/7/2012,128
9781410000000,The Hunger Games Complete Trilogy,Suzanne Collins,Scholastic UK,10/3/2013,1344
9780550000000,The Hunger Games,Suzanne Collins,Scholastic Inc.,9/1/2009,384
9781120000000,The Hunger Games and Philosophy,"George A. Dunn, Nicolas Michaud",John Wiley & Sons,1/26/2012,272
9780770000000,How to Win at College,Cal Newport,Three Rivers Press,4/12/2005,208
9780200000000,How to Think about Analysis,Lara Alcock,"Oxford University Press, USA",2014,246
9780830000000,How to Read Superhero Comics and why,Geoff Klock,A&C Black,2002,204
9780870000000,How to Cook a Wolf,M. F. K. Fisher,Macmillan,10/1/1988,202
9781450000000,How to Do Things With Videogames,Ian Bogost,U of Minnesota Press,2011,180
9781450000000,How To Win Friends and Influence People,Dale Carnegie,Simon and Schuster,8/24/2010,320
9780810000000,How to Be an Adult,David Richo,Paulist Press,1/1/1991,144
9781420000000,How to Teach Now,"William Powell, Ochan Kusuma-Powell",ASCD,2011,178
9780310000000,How to Advertise,"Kenneth Roman, Jane Maas, Martin Nisenholtz",Macmillan,3/1/2005,263
9781120000000,Investing For Dummies,Eric Tyson,John Wiley & Sons,5/27/2016,432
9780470000000,ASVAB For Dummies,Rod Powers,John Wiley & Sons,11/29/2010,408
9781120000000,The Internet For Dummies,"John R. Levine, Margaret Levine Young",John Wiley & Sons,1/30/2015,384
9781120000000,Coding For Dummies,Nikhil Abraham,John Wiley & Sons,5/27/2016,288
9781120000000,iPhone 4S For Seniors For Dummies,Nancy C. Muir,John Wiley & Sons,12/9/2011,320
9781120000000,Bioinformatics For Dummies,"Jean-Michel Claverie, Cedric Notredame",John Wiley & Sons,2/10/2011,456
9781120000000,AutoCAD For Dummies,Bill Fane,John Wiley & Sons,5/2/2016,544
9780760000000,C++ For Dummies,Stephen R. Davis,John Wiley & Sons,5/3/2004,432
